City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,grass valley,39.2191,-121.0611,6.1,88,100,4.12,US,1669900682
221,ayan,56.45,138.1667,-19.15,73,90,9.03,RU,1669900682
222,torbay,47.6666,-52.7314,3.1,88,100,11.83,CA,1669900565
223,kibala,9.1104,18.3463,35.97,17,0,3.6,TD,1669900683
224,yamada,39.4667,141.95,2.69,77,43,1.34,JP,1669900683
225,tsumeb,-19.2333,17.7167,35.11,15,6,5.99,NA,1669900684
226,san quintin,30.4833,-115.95,11.82,79,100,2.74,MX,1669900684
227,tuatapere,-46.1333,167.6833,7.88,81,96,4.45,NZ,1669900641
228,nuqui,5.7125,-77.2708,25.26,85,60,0.19,CO,1669900568
229,bathsheba,13.2167,-59.5167,29.34,65,40,9.26,BB,1669900629
230,sangar,63.9242,127.4739,-33.06,94,100,0.97,RU,1669900684
231,fukue,32.6881,128.8419,9.55,58,100,8.81,JP,1669900685
232,destin,30.3935,-86.4958,6.7,61,0,5.14,US,1669900685
233,ossora,59.2353,163.0719,-6.31,75,100,2.34,RU,1669900685
234,marawi,7.9986,124.2928,21.07,94,98,0.4,PH,1669900686
235,joshimath,30.5667,79.5667,10.84,33,6,2.76,IN,1669900686
236,barreirinha,-2.7933,-57.07,27.52,77,100,1.21,BR,1669900686
237,ixtapa,20.7,-105.2,20.13,83,0,1.54,MX,1669900686
238,cabra,37.4725,-4.4421,15.28,35,100,1.09,ES,1669900687
239,ballina,-28.8667,153.5667,16.12,99,100,7.94,AU,1669900687
240,lithgow,-33.4833,150.15,9.04,86,96,3.47,AU,1669900687
241,whitehorse,60.7161,-135.0538,-19.57,77,100,3.6,CA,1669900602
242,birao,10.2849,22.7882,36.97,17,88,3.76,CF,1669900688
243,aquiraz,-3.9014,-38.3911,31.36,61,82,6.31,BR,1669900688
244,chapais,49.7834,-74.8492,-6.12,93,100,5.87,CA,1669900688
245,srednekolymsk,67.45,153.6833,-25.54,97,100,7.88,RU,1669900626
246,tyumentsevo,53.3224,81.498,-19.14,87,9,4.19,RU,1669900689
247,zaltan,32.947,11.8665,17.6,50,77,3.21,LY,1669900689
248,sioux lookout,50.1001,-91.917,-12.96,92,100,1.54,CA,1669900689
249,phek,25.6667,94.5,10.73,93,47,0.4,IN,1669900808
250,cayenne,4.9333,-52.3333,29.02,74,75,4.12,GF,1669900703
251,santa fe,-31.6333,-60.7,25.01,67,17,4.92,AR,1669900809
252,camacha,33.0833,-16.3333,18.68,77,40,8.75,PT,1669900681
253,mishan,45.55,131.8833,-19.76,90,11,1.87,CN,1669900691
254,tamworth,52.634,-1.6959,6.14,94,30,1.17,GB,1669900809
255,dawei,14.0833,98.2,25.13,91,100,1.41,MM,1669900809
256,iwanai,42.9744,140.5089,-3.7,70,100,8.07,JP,1669900810
257,lashio,22.9333,97.75,18.13,92,9,0.6,MM,1669900810
258,saldanha,-33.0117,17.9442,26.03,68,100,6.16,ZA,1669900810
259,tezu,27.9167,96.1667,19.09,51,0,1.97,IN,1669900811
260,mana,5.6592,-53.7767,27.69,73,100,3.89,GF,1669900811
261,codrington,-38.2667,141.9667,9.71,88,5,3.38,AU,1669900811
262,adre,13.4667,22.2,32.63,16,100,3.01,TD,1669900812
263,shingu,33.7333,135.9833,7.33,77,92,2.59,JP,1669900812
